0,1,2,3
80961037.0,18429545,5000,2026-03-02T13:25:52Z
80961037.0,16544003,1400,2026-03-02T13:25:52Z
80959893.0,18429545,17500,2026-03-02T13:12:24Z
80959893.0,45370021,8000,2026-03-02T13:12:24Z
80959893.0,16544002,7500,2026-03-02T13:12:24Z
80958973.0,18429545,17500,2026-03-02T13:05:07Z
80958973.0,45370021,8000,2026-03-02T13:05:07Z
80958973.0,16544002,7500,2026-03-02T13:05:07Z
80903533.0,25888158,150000,2026-02-28T15:36:45Z
80901124.0,15140099,300,2026-02-28T14:35:18Z
80901124.0,16538227,98000,2026-02-28T14:35:18Z
80901124.0,16093810,800,2026-02-28T14:35:18Z
80901113.0,15140099,300,2026-02-28T14:35:18Z
80901113.0,16538227,98000,2026-02-28T14:35:18Z
80901113.0,16093810,800,2026-02-28T14:35:18Z
80901102.0,16538227,27000,2026-02-28T14:35:18Z
80901102.0,16093810,800,2026-02-28T14:35:18Z
80901091.0,15140099,300,2026-02-28T14:35:18Z
80901091.0,16538227,98000,2026-02-28T14:35:18Z
80901091.0,16093810,800,2026-02-28T14:35:18Z
80901081.0,16538227,35000,2026-02-28T14:35:18Z
80901081.0,16093810,700,2026-02-28T14:35:18Z
80901069.0,16538227,27000,2026-02-28T14:35:18Z
80901069.0,16093810,800,2026-02-28T14:35:18Z
80901058.0,15140099,300,2026-02-28T14:35:18Z
80901058.0,16538227,98000,2026-02-28T14:35:18Z
80901058.0,16093810,800,2026-02-28T14:35:18Z
80871377.0,16093810,1000,2026-02-28T01:21:51Z
80871377.0,18429545,8500,2026-02-28T01:21:51Z
80871377.0,16544002,3500,2026-02-28T01:21:51Z
80871377.0,15779592,1700,2026-02-28T01:21:51Z
80870917.0,16544002,1800,2026-02-27T23:48:53Z
80870917.0,16093810,1000,2026-02-27T23:48:53Z
80870917.0,18429545,5000,2026-02-27T23:48:53Z
80870917.0,16544003,2000,2026-02-27T23:48:53Z
80870908.0,16093810,300,2026-02-27T23:48:53Z
80870908.0,18429545,12500,2026-02-27T23:48:53Z
80870900.0,16093810,3000,2026-02-27T23:48:53Z
80870900.0,18429545,13500,2026-02-27T23:48:53Z
80870900.0,16544002,2800,2026-02-27T23:48:53Z
80870889.0,16093810,1000,2026-02-27T23:48:53Z
80870889.0,18429545,14500,2026-02-27T23:48:53Z
80870889.0,16544003,2000,2026-02-27T23:48:53Z
80870879.0,16093810,1000,2026-02-27T23:48:53Z
80870879.0,18429545,5000,2026-02-27T23:48:53Z
80870879.0,16544003,2500,2026-02-27T23:48:53Z
80870879.0,16544002,900,2026-02-27T23:48:53Z
80870870.0,16093810,1000,2026-02-27T23:48:53Z
80870870.0,18429545,5000,2026-02-27T23:48:53Z
80870870.0,16544002,4000,2026-02-27T23:48:53Z
80870859.0,16093810,400,2026-02-27T23:48:53Z
80870859.0,18429545,8500,2026-02-27T23:48:53Z
80870859.0,16544002,1800,2026-02-27T23:48:53Z
80870859.0,15779592,1500,2026-02-27T23:48:53Z
80870849.0,16093810,1000,2026-02-27T23:48:53Z
80870849.0,18429545,6200,2026-02-27T23:48:53Z
80870849.0,16544002,2800,2026-02-27T23:48:53Z
80870840.0,16093810,1000,2026-02-27T23:48:53Z
80870840.0,18429545,5000,2026-02-27T23:48:53Z
80870840.0,16544003,3500,2026-02-27T23:48:53Z
80870831.0,16093810,1000,2026-02-27T23:48:53Z
80870831.0,18429545,13500,2026-02-27T23:48:53Z
80870831.0,16544002,4000,2026-02-27T23:48:53Z
80870822.0,16093810,1000,2026-02-27T23:48:53Z
80870822.0,18429545,13500,2026-02-27T23:48:53Z
80870822.0,16544002,3800,2026-02-27T23:48:53Z
80870813.0,16093810,1000,2026-02-27T23:48:53Z
80870813.0,18429545,5000,2026-02-27T23:48:53Z
80870813.0,16544002,3000,2026-02-27T23:48:53Z
80870804.0,16093810,300,2026-02-27T23:48:53Z
80870804.0,18429545,13500,2026-02-27T23:48:53Z
80870804.0,16544002,3000,2026-02-27T23:48:53Z
80870795.0,16093810,1000,2026-02-27T23:48:53Z
80870795.0,18429545,5000,2026-02-27T23:48:53Z
80870795.0,16544003,3500,2026-02-27T23:48:53Z
80870786.0,16093810,300,2026-02-27T23:48:53Z
80870786.0,18429545,14000,2026-02-27T23:48:53Z
80870786.0,16544002,2800,2026-02-27T23:48:53Z
80870776.0,16093810,400,2026-02-27T23:48:53Z
80870776.0,18429545,8000,2026-02-27T23:48:53Z
80870776.0,16544002,1500,2026-02-27T23:48:53Z
80870776.0,15779592,1500,2026-02-27T23:48:53Z
80870767.0,16093810,1000,2026-02-27T23:48:53Z
80870767.0,18429545,5000,2026-02-27T23:48:53Z
80870767.0,16544003,3500,2026-02-27T23:48:53Z
80870758.0,16093810,1000,2026-02-27T23:48:53Z
80870758.0,18429545,5000,2026-02-27T23:48:53Z
80870758.0,16544002,3000,2026-02-27T23:48:53Z
80870747.0,16093810,400,2026-02-27T23:48:53Z
80870747.0,18429545,8000,2026-02-27T23:48:53Z
80870747.0,16544002,1500,2026-02-27T23:48:53Z
80870747.0,15779592,1500,2026-02-27T23:48:53Z
80870738.0,16093810,1000,2026-02-27T23:48:53Z
80870738.0,18429545,14000,2026-02-27T23:48:53Z
80870738.0,16544002,2000,2026-02-27T23:48:53Z
